,name,interests,ages_ranges,genders,behavior,scholarities,languages,family_statuses,relationship_statuses,geo_locations,household_composition,all_fields,targeting,response,audience,timestamp,publisher_platforms
20,Expats Distribution in New York,,{u'min': 18},0.0,"{u'or': [6027148962983], u'name': u'Expats (Romania)'}",,,,,"{u'values': [{u'key': u'2490299'}], u'name': u'cities', u'location_types': [u'home']}",,"(('genders', 0), ('ages_ranges', {u'min': 18}), ('geo_locations', {u'values': [{u'key': u'2490299'}], u'name': u'cities', u'location_types': [u'home']}), ('behavior', {u'or': [6027148962983], u'name': u'Expats (Romania)'}))","{'flexible_spec': [{'behaviors': [{'id': 6027148962983}]}], 'publisher_platforms': ['facebook'], 'geo_locations': {u'cities': [{u'key': u'2490299'}], 'location_types': [u'home']}, 'age_min': 18, 'genders': [0], 'age_max': None}","{""data"":{""users"":7500,""estimate_ready"":true}}",7500,1496049092,"[""facebook""]"
21,Expats Distribution in New York,,{u'min': 18},0.0,"{u'or': [6019520122583], u'name': u'Expats (Puerto Rico)'}",,,,,"{u'values': [{u'key': u'2490299'}], u'name': u'cities', u'location_types': [u'home']}",,"(('genders', 0), ('ages_ranges', {u'min': 18}), ('geo_locations', {u'values': [{u'key': u'2490299'}], u'name': u'cities', u'location_types': [u'home']}), ('behavior', {u'or': [6019520122583], u'name': u'Expats (Puerto Rico)'}))","{'flexible_spec': [{'behaviors': [{'id': 6019520122583}]}], 'publisher_platforms': ['facebook'], 'geo_locations': {u'cities': [{u'key': u'2490299'}], 'location_types': [u'home']}, 'age_min': 18, 'genders': [0], 'age_max': None}","{""data"":{""users"":64000,""estimate_ready"":true}}",64000,1496049092,"[""facebook""]"
22,Expats Distribution in New York,,{u'min': 18},0.0,"{u'or': [6021354882783], u'name': u'Expats (Portugal)'}",,,,,"{u'values': [{u'key': u'2490299'}], u'name': u'cities', u'location_types': [u'home']}",,"(('genders', 0), ('ages_ranges', {u'min': 18}), ('geo_locations', {u'values': [{u'key': u'2490299'}], u'name': u'cities', u'location_types': [u'home']}), ('behavior', {u'or': [6021354882783], u'name': u'Expats (Portugal)'}))","{'flexible_spec': [{'behaviors': [{'id': 6021354882783}]}], 'publisher_platforms': ['facebook'], 'geo_locations': {u'cities': [{u'key': u'2490299'}], 'location_types': [u'home']}, 'age_min': 18, 'genders': [0], 'age_max': None}","{""data"":{""users"":4800,""estimate_ready"":true}}",4800,1496049092,"[""facebook""]"
23,Expats Distribution in New York,,{u'min': 18},0.0,"{u'or': [6019396657183], u'name': u'Expats (Poland)'}",,,,,"{u'values': [{u'key': u'2490299'}], u'name': u'cities', u'location_types': [u'home']}",,"(('genders', 0), ('ages_ranges', {u'min': 18}), ('geo_locations', {u'values': [{u'key': u'2490299'}], u'name': u'cities', u'location_types': [u'home']}), ('behavior', {u'or': [6019396657183], u'name': u'Expats (Poland)'}))","{'flexible_spec': [{'behaviors': [{'id': 6019396657183}]}], 'publisher_platforms': ['facebook'], 'geo_locations': {u'cities': [{u'key': u'2490299'}], 'location_types': [u'home']}, 'age_min': 18, 'genders': [0], 'age_max': None}","{""data"":{""users"":22000,""estimate_ready"":true}}",22000,1496049092,"[""facebook""]"
24,Expats Distribution in New York,,{u'min': 18},0.0,"{u'or': [6018797091183], u'name': u'Expats (Philippines)'}",,,,,"{u'values': [{u'key': u'2490299'}], u'name': u'cities', u'location_types': [u'home']}",,"(('genders', 0), ('ages_ranges', {u'min': 18}), ('geo_locations', {u'values': [{u'key': u'2490299'}], u'name': u'cities', u'location_types': [u'home']}), ('behavior', {u'or': [6018797091183], u'name': u'Expats (Philippines)'}))","{'flexible_spec': [{'behaviors': [{'id': 6018797091183}]}], 'publisher_platforms': ['facebook'], 'geo_locations': {u'cities': [{u'key': u'2490299'}], 'location_types': [u'home']}, 'age_min': 18, 'genders': [0], 'age_max': None}","{""data"":{""users"":66000,""estimate_ready"":true}}",66000,1496049092,"[""facebook""]"
25,Expats Distribution in New York,,{u'min': 18},0.0,"{u'or': [6027149008183], u'name': u'Expats (Peru)'}",,,,,"{u'values': [{u'key': u'2490299'}], u'name': u'cities', u'location_types': [u'home']}",,"(('genders', 0), ('ages_ranges', {u'min': 18}), ('geo_locations', {u'values': [{u'key': u'2490299'}], u'name': u'cities', u'location_types': [u'home']}), ('behavior', {u'or': [6027149008183], u'name': u'Expats (Peru)'}))","{'flexible_spec': [{'behaviors': [{'id': 6027149008183}]}], 'publisher_platforms': ['facebook'], 'geo_locations': {u'cities': [{u'key': u'2490299'}], 'location_types': [u'home']}, 'age_min': 18, 'genders': [0], 'age_max': None}","{""data"":{""users"":37000,""estimate_ready"":true}}",37000,1496049092,"[""facebook""]"
26,Expats Distribution in New York,,{u'min': 18},0.0,"{u'or': [6016916394383], u'name': u'Expats (Pakistani)'}",,,,,"{u'values': [{u'key': u'2490299'}], u'name': u'cities', u'location_types': [u'home']}",,"(('genders', 0), ('ages_ranges', {u'min': 18}), ('geo_locations', {u'values': [{u'key': u'2490299'}], u'name': u'cities', u'location_types': [u'home']}), ('behavior', {u'or': [6016916394383], u'name': u'Expats (Pakistani)'}))","{'flexible_spec': [{'behaviors': [{'id': 6016916394383}]}], 'publisher_platforms': ['facebook'], 'geo_locations': {u'cities': [{u'key': u'2490299'}], 'location_types': [u'home']}, 'age_min': 18, 'genders': [0], 'age_max': None}","{""data"":{""users"":27000,""estimate_ready"":true}}",27000,1496049092,"[""facebook""]"
27,Expats Distribution in New York,,{u'min': 18},0.0,"{u'or': [6027147189983], u'name': u'Expats (Pakistan)'}",,,,,"{u'values': [{u'key': u'2490299'}], u'name': u'cities', u'location_types': [u'home']}",,"(('genders', 0), ('ages_ranges', {u'min': 18}), ('geo_locations', {u'values': [{u'key': u'2490299'}], u'name': u'cities', u'location_types': [u'home']}), ('behavior', {u'or': [6027147189983], u'name': u'Expats (Pakistan)'}))","{'flexible_spec': [{'behaviors': [{'id': 6027147189983}]}], 'publisher_platforms': ['facebook'], 'geo_locations': {u'cities': [{u'key': u'2490299'}], 'location_types': [u'home']}, 'age_min': 18, 'genders': [0], 'age_max': None}","{""data"":{""users"":27000,""estimate_ready"":true}}",27000,1496049092,"[""facebook""]"
28,Expats Distribution in New York,,{u'min': 18},0.0,"{u'or': [6018797004183], u'name': u'Expats (Nigeria)'}",,,,,"{u'values': [{u'key': u'2490299'}], u'name': u'cities', u'location_types': [u'home']}",,"(('genders', 0), ('ages_ranges', {u'min': 18}), ('geo_locations', {u'values': [{u'key': u'2490299'}], u'name': u'cities', u'location_types': [u'home']}), ('behavior', {u'or': [6018797004183], u'name': u'Expats (Nigeria)'}))","{'flexible_spec': [{'behaviors': [{'id': 6018797004183}]}], 'publisher_platforms': ['facebook'], 'geo_locations': {u'cities': [{u'key': u'2490299'}], 'location_types': [u'home']}, 'age_min': 18, 'genders': [0], 'age_max': None}","{""data"":{""users"":18000,""estimate_ready"":true}}",18000,1496049092,"[""facebook""]"
29,Expats Distribution in New York,,{u'min': 18},0.0,"{u'or': [6023516368383], u'name': u'Expats (New Zealand)'}",,,,,"{u'values': [{u'key': u'2490299'}], u'name': u'cities', u'location_types': [u'home']}",,"(('genders', 0), ('ages_ranges', {u'min': 18}), ('geo_locations', {u'values': [{u'key': u'2490299'}], u'name': u'cities', u'location_types': [u'home']}), ('behavior', {u'or': [6023516368383], u'name': u'Expats (New Zealand)'}))","{'flexible_spec': [{'behaviors': [{'id': 6023516368383}]}], 'publisher_platforms': ['facebook'], 'geo_locations': {u'cities': [{u'key': u'2490299'}], 'location_types': [u'home']}, 'age_min': 18, 'genders': [0], 'age_max': None}","{""data"":{""users"":2100,""estimate_ready"":true}}",2100,1496049092,"[""facebook""]"
